"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"YAL026C"	1226.4162967185	-0.367887622686804	0.078143168635222	3.24244149727648e-06	2.22428834409283e-05
"YAL033W"	150.753677429572	-0.699717764309402	0.136904040062209	3.35376970866302e-08	3.50587716319862e-07
"YAL035W"	5410.4694420523	-0.43340601810638	0.0981106662549008	2.92577872868741e-05	0.00015665642051687
"YAL037C-B"	595.683924656218	-2.6465317892845	0.505264080210117	3.39084373206102e-08	3.53797365449415e-07
"YAL038W"	99354.6608997961	-0.746862524286314	0.145151001287694	3.91293224017959e-07	3.23697440189456e-06
"YAL044C"	1163.46249156734	-0.841786995497366	0.164021834269552	2.81926146588345e-07	2.39120419400911e-06
"YAL056W"	770.02161115951	-0.328741357429104	0.0781475900176997	8.32013283395012e-05	0.000392268244434092
"YBL004W"	7008.36594306611	-0.561512993964	0.153849002469137	0.000115708763421817	0.000528088499181612
"YBL024W"	1669.80975030965	-0.570178968507113	0.123695035839889	4.05859706729477e-06	2.71747781681443e-05
"YBL027W"	6954.3890507442	-0.611944392568996	0.0807864708984826	1.47603071414337e-14	5.0728258319182e-13
"YBL042C"	955.321921327937	-1.30326203024924	0.270727772910383	4.72076651731646e-08	4.72006297536157e-07
"YBL051C"	751.142882139053	-0.634088554104863	0.0941392614554781	4.31366051043434e-11	8.82327694039755e-10
"YBL069W"	162.957831085979	-0.914462950522966	0.119134576448581	2.13614549802157e-14	7.0598030276979e-13
"YBL072C"	4548.0291806007	-0.471013261906174	0.0636704974834292	4.55998063591837e-13	1.25896749326652e-11
"YBL077W"	38.6526836308045	-1.54588861603796	0.28270118613254	6.57842686770278e-10	1.0421041502833e-08
"YBL079W"	1979.74742566522	-0.318707382082589	0.0722575834323902	4.06369198486948e-05	0.000209395618483021
"YBL092W"	9454.2607980915	-0.425670453537583	0.079621673683952	1.7860504360791e-07	1.57252130914104e-06
"YBR002C"	185.882496787122	-0.62717284571197	0.120232950137206	4.66931882523666e-08	4.68958982013664e-07
"YBR011C"	9271.13082218144	-0.35810952792052	0.0897738308556023	5.69746498474022e-05	0.000280236749139458
"YBR017C"	1234.91854609146	-0.425219026212106	0.0511946625348241	9.94897371678521e-17	5.17423757100093e-15
"YBR039W"	1263.09227062471	-0.353425793216332	0.0884637485538007	6.08709058442062e-05	0.000297655180254212
"YBR048W"	5023.92669022504	-0.380582070443718	0.0731919423767345	2.96841242566025e-08	3.17119091779532e-07
"YBR058C"	592.743541431993	-0.414544992771822	0.0793908495097799	6.41986815141832e-08	6.17946849754168e-07
"YBR084C-A"	5358.48906993385	-0.456351344778435	0.0864893548018687	1.23096317973534e-07	1.12514059575537e-06
"YBR097W"	421.035772612171	-0.281766091960837	0.0760021866501722	2.78996352216177e-05	0.000150586204908956
"YBR104W"	456.115434668323	-0.706531658536167	0.1175987540842	8.30910092533595e-10	1.27124573509648e-08
"YBR112C"	891.529355793452	-0.436374170254045	0.0685465609194611	7.57961070954027e-10	1.1744020381133e-08
"YBR115C"	11978.0126258473	-0.405587233601785	0.0889975983179792	9.18904813274532e-06	5.57407992066802e-05
"YBR121C"	5639.93404420501	-0.41969168784702	0.0666717771792314	3.65527687165328e-10	6.08517432553892e-09
"YBR130C"	257.194425717749	-0.468247483790219	0.101794424883472	8.34366823629908e-06	5.12616027448082e-05
"YBR143C"	3053.95905380679	-0.457084687051448	0.077848589349278	8.119440628263e-09	9.9222818169429e-08
"YBR177C"	2864.66063689851	-0.429573650776896	0.0816101316576269	4.89727262939641e-07	3.97289021410163e-06
"YBR181C"	6017.3621410557	-0.386241841569995	0.0796210812203727	6.29876406244303e-07	4.98330284138329e-06
"YBR189W"	9604.06981367701	-0.470850449635467	0.0848036029167558	1.03284292783743e-08	1.21567424611602e-07
"YBR191W"	4046.78378699132	-0.483097588602178	0.0746933545665191	5.323954505828e-12	1.26213465652297e-10
"YBR198C"	517.366742055178	-0.352511954110383	0.0907402390731459	5.43301471074405e-05	0.000268015409517514
"YBR202W"	1030.2930526886	-0.39995725785488	0.0996951243463216	1.00407432757473e-05	6.03073828442156e-05
"YBR227C"	197.704961838949	-0.464332548915393	0.115135909717366	0.000144899021632608	0.000640173004412835
"YBR248C"	1126.28285864717	-0.620365776768221	0.116665310914022	1.93053802803393e-07	1.6816918975019e-06
"YBR254C"	112.122144673526	-0.459066029565489	0.117750145230137	0.000107738192732316	0.000495418461303022
"YBR262C"	103.94302945473	-0.832693872510261	0.13576077511882	6.58596154002264e-10	1.0421041502833e-08
"YBR288C"	338.455924622216	-0.360056711391233	0.0920734612021257	9.21129751423907e-05	0.000429455142620083
"YBR291C"	1225.52474522668	-0.762330380254993	0.139620416452651	3.60767341984004e-08	3.73516681693007e-07
"YBR294W"	5030.58101897074	-1.0483960477557	0.292095803271944	0.000194201758952987	0.000826712944679942
"YCL005W-A"	506.176974742223	-0.413385275743626	0.103154490403801	0.000183041765631844	0.000783680412012789
"YCL030C"	11058.4326996799	-0.571895045490309	0.136552682344321	4.57122031731382e-05	0.000231808897270283
"YCR013C"	192.945649702748	-1.54977562698111	0.505030413447271	0.000160036046012407	0.000696291720296524
"YCR024C-B"	2895.68393375509	-1.00498771410506	0.251618807654469	3.25234506846188e-05	0.000172353736684919
"YDL006W"	152.143568497963	-0.444892390712438	0.0967897816044982	4.06800756700623e-06	2.72106308744215e-05
"YDL040C"	1361.44097116632	-0.421683279188064	0.0986012957322909	4.63496849797317e-05	0.000234686820021902
"YDL049C"	169.501572521945	-1.63902005841145	0.176050356165343	2.61033355796866e-21	2.46658138597348e-19
"YDL050C"	14.9085742638558	-1.43913888927561	0.476331252604361	0.000207378694999376	0.000873934462783173
