"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"snR70"	479.661584838352	-0.508225218533836	0.300256611386527	37.0758700918329	1.70192587595949e-06	0.000143415469264001
"YBR071W"	249.609387165189	-0.130780430428333	0.294338161750636	46.3456049369223	2.5266574994952e-08	5.46924169506116e-06
"YBR145W"	533.910155630982	-0.116241784784603	0.280719743525572	56.417362770126	2.39677900414573e-10	1.4987858039258e-07
"YBR238C"	877.729007977727	-0.559521264171931	0.204555903214651	49.2358280980729	6.68797368996492e-09	1.7923769489106e-06
"YBR247C"	560.042999471857	-0.152920213895774	0.23910166704456	36.4781106662647	2.22529782920718e-06	0.000173944113649695
"YBR291C"	1225.52474522668	-0.0384220895347166	0.181676336987393	38.9004715659147	7.48641308143793e-07	8.42670656446653e-05
"YCR018C"	78.0933113377078	-0.249227011372559	0.457121001648174	32.2861142487183	1.43807383105023e-05	0.000729142299202763
"YDL055C"	12119.1239476772	-0.0738574690490805	0.19178920309925	38.2072150497311	1.02329278680616e-06	0.000102840925074019
"YDL234C"	443.742285612874	-0.0446482138143662	0.2339420513807	60.2472053808578	4.00943716716742e-11	2.82063904710228e-08
"YDR120C"	660.033922234389	-0.164971323092092	0.21832310066924	33.8826055501183	7.08778854179203e-06	0.000424362488438357
"YDR210W"	136.240895962969	-0.4098510364823	0.30114544293263	34.9903484135662	4.32809702962193e-06	0.000293476266056774
"YDR261C-D"	449.861206264529	-0.0487487971834	0.351170647754234	33.2976356356751	9.18974778995224e-06	0.000502134956911176
"YDR342C"	221.689075826675	-0.709583954443634	0.686157140388476	48.0564407617315	1.15132828984389e-08	2.70072865852844e-06
"YDR365W-B"	1070.16982474323	-0.0627646726748222	0.34608632157593	31.7914873716604	1.78899676108655e-05	0.000891015377999568
"YDR496C"	998.603274653018	-0.0875876683810751	0.241198026975381	34.3877242543381	5.66148528388071e-06	0.000358009428962704
"YER103W"	419.652128502515	-0.0986588543297967	0.357460711698447	47.8611248674725	1.25956657979592e-08	2.83553628443657e-06
"YER124C"	1725.47970429068	-0.0599337697592598	0.30406203422165	48.0557454958458	1.15169665608889e-08	2.70072865852844e-06
"YGL099W"	823.348937640206	-0.00820074224798542	0.227931255304605	33.9360744158583	6.92132849425744e-06	0.000423404747453053
"YGL120C"	1899.0742788111	-0.164292643728136	0.18469339959088	35.2926568388252	3.78182050952903e-06	0.000266051072845367
"YGR043C"	156.222823556093	-0.703964771064865	0.441788218226997	49.8462014015254	5.04689856560019e-09	1.49494448037883e-06
"YGR090W"	2523.20899809166	-0.149223402443304	0.106361138847967	46.0689802502179	2.86839559721805e-08	5.76547515040828e-06
"YGR103W"	2267.48951759269	-0.0999514911004306	0.301784315858717	31.6879975099372	1.87252315740462e-05	0.000916396550423758
"YGR125W"	4602.51882711811	-0.00406132278792739	0.308331786188474	34.5253853136119	5.3248532628198e-06	0.000340548570035793
"YGR146C"	136.443948075332	-0.00916813782113302	0.384588653019693	32.5298364548603	1.29118766379838e-05	0.000660618561077937
"YGR234W"	6281.5073422688	-0.104321971075372	0.251183434339158	35.7121745704694	3.13539844484017e-06	0.000229169122695591
"YGR245C"	1077.49449565145	-0.133610804838266	0.293077635687681	33.4937898671568	8.42378820505658e-06	0.000478879596142004
"YGR250C"	676.282617667963	-0.0863646895763492	0.223588231945934	36.720000906078	1.99659973900077e-06	0.000162853091755019
"YHR179W"	1559.04163251244	-0.0412766384556016	0.202591024817001	51.0737386538784	2.86262342282786e-09	8.95046923537511e-07
"YHR197W"	745.814640817176	-0.186300137659683	0.207474800011738	34.8266623294502	4.65586226037067e-06	0.000311942771444835
"YIL117C"	598.401255215942	-0.336270599699576	0.3017796353657	89.2819131447087	4.27136622455911e-17	1.16726333236615e-13
"YIL119C"	396.687742560452	-0.186180704440501	0.303750696267831	51.5447335075816	2.3022493579293e-09	7.62179963907418e-07
"YIR029W"	491.740552042963	-0.221016219875374	0.423008121641663	36.0990611271048	2.6370731283454e-06	0.000200560102247674
"YIR031C"	2503.42019187933	-0.0344969090421334	0.361811963476305	33.8381428255242	7.22923095451539e-06	0.00042827486117908
"YIR032C"	284.294149217934	-0.429836797306469	0.32812689286415	33.3974343781689	8.79178550763018e-06	0.000489902661751908
"YJL033W"	827.726405706716	-0.317986393149433	0.284833464451524	33.5391064236157	8.25604080666077e-06	0.000474132629182519
"YJL050W"	1914.95067899342	-0.201232604163072	0.264727481718938	40.281544683475	4.0101078394255e-07	5.12929248188334e-05
"YJL109C"	5449.91066199852	-0.0864289915602149	0.181537671489252	43.4169464863888	9.64533038301902e-08	1.46713295663868e-05
"YJL172W"	16072.7074149312	-0.0500039282403187	0.29404747143105	44.2521156905536	6.5880923705192e-08	1.05936525317949e-05
"YKL014C"	2635.45932992492	-0.0499266133845459	0.179650176736955	52.4971629086773	1.48124959156153e-09	5.55764846753886e-07
"YKL078W"	314.944090420785	-0.0570566635930074	0.287257525777188	38.9449226500848	7.33774453684751e-07	8.42670656446653e-05
"YKL164C"	5691.82363988358	-0.0363048408534175	0.32343285451639	32.2224459891004	1.47910025812849e-05	0.000743247879709565
"YKL209C"	2261.01853134664	-0.0244572516799135	0.186201176083819	31.7397441629406	1.83028641738698e-05	0.000903583505004728
"YKL217W"	109.534681035586	-0.26650612773763	0.605675272617616	34.3342801189066	5.79779439851531e-06	0.000362555409720491
"YKL218C"	482.510553432157	-0.190008462171484	0.265519950801001	38.7864937466477	7.8814417107742e-07	8.53014499004561e-05
"YKR091W"	182.292173179238	-0.0801653487826772	0.360108232667131	53.3546696818479	9.95327023171535e-10	4.00121463314957e-07
"YKR093W"	253.339224691765	-0.0907779839932557	0.656530354822144	34.2357155529245	6.05778065512915e-06	0.000374650434363372
"YLL008W"	940.950539167469	-0.106856397864105	0.250594960682211	40.8043890102404	3.16426772461059e-07	4.24011875097819e-05
"YLR136C"	47.157809767748	-0.562712395221964	0.544548435110042	37.5555616217395	1.37197876461464e-06	0.000128691608120853
"YLR197W"	5408.34971040038	-0.109257039083932	0.1713499599206	37.4703855287883	1.42552735100282e-06	0.000131005555887872
"YLR216C"	763.161242842557	-0.13102258055401	0.242434599095742	35.2322823339613	3.88514991336116e-06	0.000269945971757983
"YLR304C"	11596.6850827088	-0.288144043900471	0.32332909563491	36.5408779489381	2.16356686690706e-06	0.000171562605870141
"YLR414C"	1162.3502811964	-0.151235791820829	0.350575349492851	54.620563203254	5.52962038368678e-10	2.80210666168058e-07
"YLR417W"	256.523834918097	-0.105003675646377	0.276846044501226	35.7876588064854	3.03133199342232e-06	0.000226160809197043
"YMR011W"	2309.84056337962	-1.05177208055941	0.619258293640437	37.5731649087151	1.36116369996286e-06	0.000128691608120853
"YMR095C"	77.7051021268161	-1.15455830056473	0.60619257300995	32.5315545685793	1.29020689226093e-05	0.000660618561077937
"YMR120C"	14226.8956891044	-0.177298174727259	0.247569693956022	37.9029018322496	1.17354047818552e-06	0.000113873893297036
"YMR122W-A"	2679.98556875593	-0.0588347161656169	0.266820615660975	44.9341185520526	4.82342333606729e-08	8.25305223835191e-06
"YMR128W"	833.540185331291	-0.147542623527414	0.298467979945808	32.688968592765	1.20341301034644e-05	0.000628595019425817
"YMR189W"	7517.94646243256	-0.0463814525450093	0.292794790547402	44.5208710043406	5.82670908103303e-08	9.64491726707467e-06
"YMR229C"	7755.67440372173	-0.0982816891900051	0.256928909647985	38.5921941949973	8.60319143510262e-07	9.10354350765287e-05
"YMR259C"	1256.91916973386	-0.0387204271972131	0.150396388564916	38.147588261131	1.0511430649464e-06	0.000103786546833656
"YMR300C"	3192.27952782271	-0.200365368453291	0.1739656679454	54.4539826725119	5.97464106968141e-10	2.80210666168058e-07
"YMR309C"	4170.98245062803	-0.158492270516516	0.122151274043866	37.34726064687	1.50662448742735e-06	0.000131005555887872
"YNL132W"	2824.49849865429	-0.0969703112080297	0.189411686119515	46.1077754561891	2.81782681599819e-08	5.76547515040828e-06
"YNR064C"	34.8827898302299	-0.469633778855315	0.86594927054423	33.6147310607773	7.98345098988445e-06	0.000463204764650203
"YOR306C"	245.809308554818	-0.0333090113894187	0.400623321656599	40.47660602248	3.6710310869459e-07	4.80478208310035e-05
"YOR310C"	3117.05633363562	-0.132396010225518	0.171227336707965	40.8278653673005	3.13076601854276e-07	4.24011875097819e-05
"YOR341W"	9334.98312839134	-0.0943161498049383	0.199940738977818	51.7104640677424	2.13228369035669e-09	7.50030788082964e-07
"YPL012W"	3643.41935608248	-0.0893936896603606	0.185039445853874	53.5964473888116	8.89703040011996e-10	3.85172977629808e-07
"YPL016W"	617.680058561611	-0.151769837611391	0.206856460189497	38.8556923997929	7.63920651773871e-07	8.43008907486931e-05
"YPL093W"	3291.89100537655	-0.110905794749205	0.195915867632285	41.0039894284235	2.89043140786313e-07	4.06683699086342e-05
"YPL110C"	389.952052151904	-0.302799723598318	0.212784842901149	36.3952243595961	2.30950376916522e-06	0.000178053249491258
"YPL111W"	324.298870938061	-0.463540092532892	0.32090921805303	35.7709594778173	3.05405499271061e-06	0.000226160809197043
"YPL126W"	1827.29902775499	-0.127127620805425	0.18170131352929	34.5536180579485	5.25830901079758e-06	0.000340158196698491
"YPL265W"	3270.49333932509	-0.406832936776228	0.39840467596047	36.5400736569228	2.1643470179069e-06	0.000171562605870141
"YPR154W"	469.30001936654	-0.217467809370692	0.264728166138433	63.8631239686584	7.36027044972565e-12	6.90393368184266e-09
