"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBL004W"	7008.36594306611	-0.447991051691718	0.213654856414864	39.7544528332077	5.09027363005925e-07	6.36623555332743e-05
"YBR145W"	533.910155630982	-0.82584204265238	0.297903829386758	56.417362770126	2.39677900414573e-10	1.4987858039258e-07
"YBR238C"	877.729007977727	-0.133413541930783	0.215711917453028	49.2358280980729	6.68797368996492e-09	1.7923769489106e-06
"YBR247C"	560.042999471857	-0.545770073750763	0.252153834577903	36.4781106662647	2.22529782920718e-06	0.000173944113649695
"YBR291C"	1225.52474522668	-0.983600747151752	0.195163964382476	38.9004715659147	7.48641308143793e-07	8.42670656446653e-05
"YDL055C"	12119.1239476772	-0.836171198339375	0.202242194712929	38.2072150497311	1.02329278680616e-06	0.000102840925074019
"YDL148C"	696.870909232479	-0.165879510308578	0.343121122110593	31.4962551787445	2.03761978195943e-05	0.000988596908005832
"YDL210W"	142.380760158756	-0.767243592470268	0.567938960995434	33.236283651909	9.44321361109074e-06	0.000508030054642667
"YDR033W"	5178.41327810634	-1.14686570009091	0.450074193389507	34.6825213970899	4.96482134671454e-06	0.000328729582815405
"YDR120C"	660.033922234389	-0.291058422237559	0.229889276667155	33.8826055501183	7.08778854179203e-06	0.000424362488438357
"YDR496C"	998.603274653018	-0.265205905906908	0.25441427518654	34.3877242543381	5.66148528388071e-06	0.000358009428962704
"YER124C"	1725.47970429068	-0.777845806674972	0.321046445335463	48.0557454958458	1.15169665608889e-08	2.70072865852844e-06
"YGL099W"	823.348937640206	-0.266875529722531	0.239674089521896	33.9360744158583	6.92132849425744e-06	0.000423404747453053
"YGL120C"	1899.0742788111	-0.439946961941868	0.194824936927274	35.2926568388252	3.78182050952903e-06	0.000266051072845367
"YGR090W"	2523.20899809166	-0.114985257577428	0.112479697196907	46.0689802502179	2.86839559721805e-08	5.76547515040828e-06
"YGR103W"	2267.48951759269	-0.363305537455398	0.317875400735681	31.6879975099372	1.87252315740462e-05	0.000916396550423758
"YGR125W"	4602.51882711811	-1.2208252025621	0.325355389815237	34.5253853136119	5.3248532628198e-06	0.000340548570035793
"YGR234W"	6281.5073422688	-0.902978245644157	0.264989464800029	35.7121745704694	3.13539844484017e-06	0.000229169122695591
