"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"snR70"	479.661584838352	-0.62675345794683	0.305411533154253	37.0758700918329	1.70192587595949e-06	0.000143415469264001
"YBR068C"	90.2722524841377	-0.588201655262615	0.619580114844969	39.3089811265572	6.22556841233103e-07	7.45478702651044e-05
"YBR071W"	249.609387165189	-0.0349522635239239	0.306572523990066	46.3456049369223	2.5266574994952e-08	5.46924169506116e-06
"YBR085C-A"	641.677062389324	-0.168136049514168	0.342073818097753	39.5979056766731	5.46361069098491e-07	6.68460890627458e-05
"YBR145W"	533.910155630982	-0.632465424805066	0.288566926206355	56.417362770126	2.39677900414573e-10	1.4987858039258e-07
"YBR238C"	877.729007977727	-0.653837447451528	0.208692541525597	49.2358280980729	6.68797368996492e-09	1.7923769489106e-06
"YBR291C"	1225.52474522668	-0.0388119914334787	0.185428212357122	38.9004715659147	7.48641308143793e-07	8.42670656446653e-05
"YCR018C"	78.0933113377078	-0.80016482029904	0.475298651389801	32.2861142487183	1.43807383105023e-05	0.000729142299202763
"YDL210W"	142.380760158756	-0.611425792103798	0.528529016932515	33.236283651909	9.44321361109074e-06	0.000508030054642667
"YDL234C"	443.742285612874	-0.366631745243676	0.239146392504184	60.2472053808578	4.00943716716742e-11	2.82063904710228e-08
"YDR055W"	1466.11883346067	-0.230534089451951	0.342489596133169	41.0296498950684	2.85698251683825e-07	4.06683699086342e-05
"YDR210W"	136.240895962969	-0.130191116436788	0.311212596004385	34.9903484135662	4.32809702962193e-06	0.000293476266056774
"YDR216W"	637.4651987352	-0.353566353187658	0.262896307781582	91.7323938518406	1.32266810524398e-17	7.44397609631311e-14
"YDR261C-D"	449.861206264529	-0.611174397416885	0.360816413543748	33.2976356356751	9.18974778995224e-06	0.000502134956911176
"YDR342C"	221.689075826675	-0.672563073512468	0.701184856353509	48.0564407617315	1.15132828984389e-08	2.70072865852844e-06
"YDR365W-B"	1070.16982474323	-0.658826992366957	0.35259443051431	31.7914873716604	1.78899676108655e-05	0.000891015377999568
"YFR055W"	419.543581665465	-0.437819772046207	0.301917957101496	60.8262287287843	3.05762441464194e-11	2.45833002937212e-08
"YGR043C"	156.222823556093	-0.587772888720086	0.452896841110453	49.8462014015254	5.04689856560019e-09	1.49494448037883e-06
"YGR090W"	2523.20899809166	-0.0920379722234975	0.108990524719048	46.0689802502179	2.86839559721805e-08	5.76547515040828e-06
"YGR144W"	127.674730616513	-0.4926771637575	0.446891092410569	54.7552183183496	5.19416800730239e-10	2.80210666168058e-07
"YGR146C"	136.443948075332	-0.418690321311601	0.412082908110958	32.5298364548603	1.29118766379838e-05	0.000660618561077937
"YGR250C"	676.282617667963	-0.131033168315588	0.228111124120575	36.720000906078	1.99659973900077e-06	0.000162853091755019
"YHR030C"	692.597648364669	-0.210310832511326	0.200451647937268	33.3379093046113	9.02704447883812e-06	0.000498080454185304
"YHR094C"	5736.81473640774	-0.0803149900785433	0.44510373648439	37.3985982297887	1.4722678507962e-06	0.000131005555887872
"YHR179W"	1559.04163251244	-0.228968095264231	0.206731765943136	51.0737386538784	2.86262342282786e-09	8.95046923537511e-07
"YHR197W"	745.814640817176	-0.00939153559058011	0.211978767539796	34.8266623294502	4.65586226037067e-06	0.000311942771444835
"YIL117C"	598.401255215942	-1.00453447170635	0.307261181675525	89.2819131447087	4.27136622455911e-17	1.16726333236615e-13
"YIR029W"	491.740552042963	-0.362092416272899	0.427454022021336	36.0990611271048	2.6370731283454e-06	0.000200560102247674
"YIR031C"	2503.42019187933	-0.0382246881872436	0.366429716669892	33.8381428255242	7.22923095451539e-06	0.00042827486117908
"YIR032C"	284.294149217934	-0.403864235980794	0.332730224521053	33.3974343781689	8.79178550763018e-06	0.000489902661751908
"YJL033W"	827.726405706716	-0.0657806342242502	0.289968569877013	33.5391064236157	8.25604080666077e-06	0.000474132629182519
"YJL172W"	16072.7074149312	-0.189713715633184	0.297865660223898	44.2521156905536	6.5880923705192e-08	1.05936525317949e-05
"YKL217W"	109.534681035586	-0.00991752602383935	0.664543446644497	34.3342801189066	5.79779439851531e-06	0.000362555409720491
"YKL218C"	482.510553432157	-0.0426462178475592	0.271361001191245	38.7864937466477	7.8814417107742e-07	8.53014499004561e-05
"YKR091W"	182.292173179238	-1.19582384416648	0.359049776010694	53.3546696818479	9.95327023171535e-10	4.00121463314957e-07
"YKR093W"	253.339224691765	-0.753765848375078	0.646430200178246	34.2357155529245	6.05778065512915e-06	0.000374650434363372
"YLL039C"	2065.01710591568	-0.0812131943090799	0.258727114656592	39.1967603008169	6.54922869236267e-07	7.67897064179523e-05
"YLL051C"	809.127516219757	-0.309855621733279	0.423428880608513	34.9972055999295	4.31487781516817e-06	0.000293476266056774
"YLR136C"	47.157809767748	-1.53516597629458	0.552284579859215	37.5555616217395	1.37197876461464e-06	0.000128691608120853
"YLR142W"	568.209838538483	-0.187232325146866	0.320310009813328	43.8224977350307	8.01603515732606e-08	1.25317349626197e-05
"YLR197W"	5408.34971040038	-0.0236445987410857	0.173893649135788	37.4703855287883	1.42552735100282e-06	0.000131005555887872
"YLR216C"	763.161242842557	-0.00690891993774849	0.248730493735569	35.2322823339613	3.88514991336116e-06	0.000269945971757983
"YLR414C"	1162.3502811964	-0.470189905161277	0.355980875225601	54.620563203254	5.52962038368678e-10	2.80210666168058e-07
