"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"IRT1"	48.9511033355658	-8.15564336275869e-08	0.00144267722855761	7.28411040638320e-09	1.43253876835756e-07
"snR74"	34.3826465952925	-2.57546132141799e-06	0.00144265688846545	2.78823488195108e-05	0.000256361623971279
"YAL005C"	4732.04349630942	-2.07685213688558e-06	0.00144266041181775	3.85446388062162e-08	6.75713214698841e-07
"YAL031C"	342.400142315507	-1.2944069872259e-05	0.00144242853491826	1.63452921281663e-06	2.05850479790354e-05
"YAL048C"	262.14576647322	-3.2343363205581e-06	0.00144252967532275	0.000129516900463618	0.000947101338874108
"YAL051W"	418.824386880771	-1.18607987804011e-05	0.00144247393524887	2.97027457658672e-05	0.000270451316710264
"YAL067C"	158.870487688978	-1.03144699727009e-06	0.00144267917759409	1.48055225174635e-10	3.74351942422328e-09
"YBL002W"	2872.96820962233	-9.48745617752763e-06	0.00144258960106204	1.74754158038063e-08	3.21802194661688e-07
"YBL005W"	436.04359153478	-7.53430625045225e-06	0.00144251755821676	9.63406455236141e-11	2.51326747488984e-09
"YBL041W"	574.137156083763	-7.29580124320641e-07	0.00144259696760931	8.37699166423246e-09	1.61971597649012e-07
"YBL056W"	1622.18521131976	-0.000521886590313193	0.00149479495437046	1.61785383623168e-05	0.000158742852528165
"YBL078C"	54.8774921849732	-4.5085696352914e-06	0.00144266836944844	1.25633975481555e-05	0.000127456443644405
"YBL086C"	125.659805479207	-1.04534791175987e-05	0.00144264117774903	8.00904644473426e-05	0.000637427013652337
"YBR015C"	2039.65928211466	-5.90043351116633e-06	0.00144242350277046	5.51110406844959e-08	9.4348953505176e-07
"YBR033W"	39.1890258755026	-1.75017105992723e-06	0.00144267589096367	8.79246287289707e-09	1.69010675223466e-07
"YBR035C"	680.799417159882	-3.06082877958803e-06	0.00144250878215555	8.28152418203185e-07	1.12052334999697e-05
"YBR056W-A"	106.714259606931	-3.83851057132336e-07	0.00144267606234515	3.98955125195832e-06	4.58519404377168e-05
"YBR073W"	558.019873821576	-1.66205813236448e-06	0.00144261187546123	1.06688836563997e-39	1.14979083864216e-37
"YBR080C"	1186.37296163959	-3.12357187769511e-05	0.00144250698166555	2.60656452110915e-08	4.66908859993775e-07
"YBR083W"	198.338742276979	-8.14011124396054e-07	0.00144263244573133	2.11979366680281e-16	9.29034904370778e-15
"YBR094W"	436.298192812478	-1.22705181939726e-05	0.00144249615392425	1.66680152003085e-06	2.09113610547381e-05
"YBR146W"	261.828117433953	-1.32478870069014e-05	0.00144246781106683	1.34066218887981e-05	0.000133944297640573
"YBR147W"	483.281737925635	-7.45035262060951e-06	0.00144264377787789	2.06949803898969e-07	3.20114826078076e-06
"YBR157C"	108.475598525934	-1.18136835636146e-05	0.00144263639257044	1.60732219357033e-95	7.04435740035424e-93
"YBR161W"	195.707429048876	-1.74212206969174e-05	0.00144261322330629	4.53562639807567e-05	0.000390789094901041
"YBR166C"	290.041166410507	-2.90199973062277e-06	0.001442579636979	7.81174960181664e-05	0.000624749901245044
"YBR169C"	508.255016873134	-4.91493930736797e-06	0.00144265393675772	0.000104913238785454	0.000800356328121072
"YBR177C"	2864.66063689851	-2.28607583632639e-05	0.00144255227021162	0.00011724388246727	0.000874632108729826
"YBR205W"	624.566145539688	-4.20277025648253e-06	0.00144227008639483	2.69581831288047e-06	3.26234608187455e-05
"YBR255C-A"	75.7513206812027	-1.24929117825245e-05	0.00144265452176231	1.43445017197845e-06	1.82753399817565e-05
"YBR256C"	551.648097948843	-1.96922614302987e-06	0.00144253429183429	1.22062304343862e-06	1.58584503706828e-05
"YBR291C"	1225.52474522668	-1.27526810810713e-06	0.00144261155969469	8.40663042111799e-14	3.0533253253276e-12
"YCL026C-B"	109.769079558081	-3.37600093666127e-06	0.00144266585473179	5.06845140778336e-07	7.13490354491816e-06
"YCL050C"	666.469229342625	-1.28441219770935e-06	0.00144254999210603	4.46477466075556e-07	6.45086343292463e-06
"YCL057W"	2000.21033554359	-4.76007664511921e-06	0.00144238898315451	1.76593676090185e-11	5.0475079418125e-10
"YCR020C"	48.4121844814047	-2.86993619380058e-07	0.00144264919991697	0.000113430215979999	0.000849305512360491
"YCR043C"	365.710172792507	-1.2305538979494e-06	0.00144242868591947	1.54659611500282e-09	3.34451409869361e-08
"YCR052W"	357.717983606177	-8.94123249666642e-08	0.00144257150015576	2.21388507886755e-06	2.70521942536715e-05
"YCR065W"	887.912218099844	-2.23688954176072e-06	0.00144255414093698	8.74243436692612e-09	1.68541828528365e-07
"YCR097W-A"	4.38807896790517	-1.18730450984493e-06	0.00144269360114874	1.09622593466884e-13	3.93802693689233e-12
"YCR099C"	39.2739354402876	-7.39724159575829e-08	0.00144267836026132	2.20224015215647e-05	0.000208309737557937
"YCR101C"	69.8859227558094	-3.22616588979234e-06	0.00144267361161372	3.01977653315477e-05	0.000274578297772607
"YDL010W"	141.330326863752	-5.35972183006508e-06	0.00144264082507736	7.44666512706876e-06	8.03848547542693e-05
"YDL020C"	475.389003164843	-7.20251378654457e-06	0.00144258707758919	9.79223783511479e-15	3.74268439116539e-13
"YDL040C"	1361.44097116632	-7.77719676602995e-06	0.00144254876249619	2.26511291926876e-05	0.000213335993284711
"YDL048C"	350.124466149253	-5.66658129246628e-07	0.00144267785897536	9.04854347176351e-05	0.000709846357796818
"YDL049C"	169.501572521945	-8.18637229594058e-06	0.00144265634010149	3.38212252424393e-06	3.98460098107161e-05
"YDL058W"	1132.19519539103	-3.32196965640953e-06	0.00144244601989256	1.35395202055014e-08	2.55039558254918e-07
"YDL061C"	1816.29077397676	-1.20452268941075e-05	0.00144260587538836	4.34090813142244e-05	0.000377475265290623
"YDL100C"	1266.30583849416	-3.15309974578379e-06	0.00144228836232527	6.58968807927142e-19	3.55086962566642e-17
"YDL103C"	421.649629842461	-2.91292688194237e-06	0.00144253263523093	2.92191015790975e-06	3.49247952329067e-05
"YDL120W"	247.528618628515	-7.84133928063186e-07	0.00144255908949714	5.6551650320128e-07	7.89321760519154e-06
"YDL127W"	126.223379772299	-3.88343664262689e-06	0.00144257945940298	1.25312684225426e-06	1.6216645395629e-05
"YDL149W"	220.044702056447	-2.80019658586088e-06	0.00144254699560184	9.96237348204165e-05	0.000770400348896655
"YDL160C-A"	32.8999680609968	-2.57026604136607e-06	0.00144265437744319	4.49552197001025e-25	3.35835925350538e-23
"YDL224C"	1021.81155096065	-5.62232254252249e-06	0.00144247431700154	1.11262756097595e-30	9.49923842318943e-29
"YDL234C"	443.742285612874	-1.95352463591582e-06	0.00144265723076556	5.54399109752991e-05	0.0004678587609135
"YDL237W"	783.061345471616	-8.02462913554225e-06	0.00144261195378589	7.74802751561088e-05	0.00062116503521495
"YDL240W"	527.868400784081	-8.6300953960091e-07	0.00144252712721264	9.52139920300697e-18	4.53577379424404e-16
