"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"__ambiguous"	112486.133903011	-0.330442632476243	0.088530720513025	3.76390025073708e-06	4.36400004379992e-05
"IRT1"	48.9511033355658	-1.62146858009151	0.2948946535722	7.28411040638320e-09	1.43253876835756e-07
"RME2"	523.839808601326	-5.61863514796454	0.3688751202796	3.41849425240791e-48	4.78152791815524e-46
"RME3"	93.1236503576261	-1.02429244880457	0.275368833992543	1.06428973648727e-06	1.40213241035417e-05
"snR74"	34.3826465952925	-0.78632334832959	0.205264922393943	2.78823488195108e-05	0.000256361623971279
"tA(AGC)P"	11.8439289828202	-2.93842451076607	0.721199995934427	6.04043166694773e-09	1.21809195639615e-07
"tG(GCC)D2"	27.4405116572538	-2.74746056949057	0.400001340422752	9.4600677637992e-18	4.53577379424404e-16
"tL(UAG)L1"	22.876181666305	-2.70539654256425	0.405922860584142	1.11005265351241e-21	7.01681360018327e-20
"tN(GUU)P"	15.0772651191657	-2.41070375577281	0.487171944636437	9.75011113927082e-16	4.0060769143479e-14
"tW(CCA)P"	19.8821512578351	-0.994012210390741	0.34781255227164	2.02625914182656e-05	0.000193332766304322
"YAL028W"	73.2698752650808	-0.904219822352097	0.243467083304695	6.90108481941372e-05	0.000564275268691863
"YAL031C"	342.400142315507	-0.311378530781697	0.068151391161092	1.63452921281663e-06	2.05850479790354e-05
"YAL048C"	262.14576647322	-0.33435310423341	0.0912546256794226	0.000129516900463618	0.000947101338874108
"YAL060W"	2015.4779232408	-0.802209807754322	0.239730913755939	1.67395128059716e-05	0.000163758269622705
"YAL067C"	158.870487688978	-1.85369440831703	0.315165152338288	1.48055225174635e-10	3.74351942422328e-09
"YAR009C"	429.266036159186	-2.98789464394981	0.194907344328578	1.4707686127415e-60	2.76252367433217e-58
"YAR010C"	117.411958988773	-3.41289253569234	0.26225746733389	1.44785371167024e-47	1.98295631260836e-45
"YBL002W"	2872.96820962233	-0.580192003516587	0.109027609224151	1.74754158038063e-08	3.21802194661688e-07
"YBL005W"	436.04359153478	-0.557812818293377	0.0880733490701801	9.63406455236141e-11	2.51326747488984e-09
"YBL005W-B"	842.375526485572	-2.79961959455518	0.139723956396199	4.48666183423537e-92	1.84345718114146e-89
"YBL016W"	208.256225370773	-3.60285529271277	0.307903550034682	1.85970669469647e-32	1.69801552929647e-30
"YBL056W"	1622.18521131976	-0.20637875610159	0.0455385937543526	1.61785383623168e-05	0.000158742852528165
"YBL066C"	544.708940117266	-0.382806189763539	0.074579847160134	4.82101371880424e-09	9.96646043629531e-08
"YBL081W"	296.987953085697	-0.402134367149952	0.152115274305658	7.73807190807042e-05	0.000621124355600182
"YBL100W-B"	220.97743362409	-1.92889251768834	0.187564071129825	5.38442414759005e-31	4.6575268876654e-29
"YBL101C"	1164.14732910139	-0.281683426467001	0.0761979750297467	3.88170401374414e-07	5.67073826363421e-06
"YBL106C"	384.408082313808	-0.219819084799829	0.0767997737710494	7.00575413217834e-09	1.38937385225345e-07
"YBR012C"	51.9712146057157	-1.90418844774897	0.226290313990497	7.88787039983172e-24	5.63639782701019e-22
"YBR012W-B"	598.063505116964	-3.01582516321094	0.157471735071993	1.60166486940168e-83	5.01397373878411e-81
"YBR015C"	2039.65928211466	-0.390739140894992	0.0714447155703199	5.51110406844959e-08	9.4348953505176e-07
"YBR020W"	80.2143913467311	-1.86512638867225	0.270078939096758	9.20740386943317e-15	3.56055723750904e-13
"YBR040W"	6.20707694565613	-2.33357887401996	0.661527129451552	7.69705236643231e-06	8.25455501744307e-05
"YBR067C"	1623.47033874809	-1.17701164049224	0.380404444186027	6.21827215259618e-08	1.05358044152493e-06
"YBR069C"	82.5318977395766	-1.10732862400024	0.398629001156393	7.72079617275083e-06	8.26653323121563e-05
"YBR073W"	558.019873821576	-1.63917603462765	0.133263150001265	1.06688836563997e-39	1.14979083864216e-37
"YBR083W"	198.338742276979	-1.22663497384667	0.159353626021951	2.11979366680281e-16	9.29034904370778e-15
"YBR106W"	2747.7145035195	-0.157282258179713	0.063024686797054	2.69959882649796e-06	3.26234608187455e-05
"YBR133C"	1002.32822811306	-0.562331235633296	0.106495713935456	6.26678288002924e-10	1.44553791766008e-08
"YBR146W"	261.828117433953	-0.0735987745886741	0.0712364425971606	1.34066218887981e-05	0.000133944297640573
"YBR147W"	483.281737925635	-0.795572692454723	0.158479665467708	2.06949803898969e-07	3.20114826078076e-06
"YBR157C"	108.475598525934	-3.0536435296176	0.17603003862329	1.60732219357033e-95	7.04435740035424e-93
"YBR158W"	1322.69478931714	-1.21785345015781	0.140978405183471	5.19174378313596e-23	3.44752763942786e-21
"YBR161W"	195.707429048876	-0.458792776904252	0.101546382507648	4.53562639807567e-05	0.000390789094901041
"YBR162C"	8445.80175675894	-0.539997974056438	0.203063192077902	0.000117344922406405	0.000874632108729826
"YBR177C"	2864.66063689851	-0.0735592078560126	0.0757363928043467	0.00011724388246727	0.000874632108729826
"YBR205W"	624.566145539688	-0.161821837941571	0.0565374044470723	2.69581831288047e-06	3.26234608187455e-05
"YBR208C"	5876.16217135949	-0.986600502585401	0.274123161039342	8.46050143128109e-06	8.92766234498265e-05
"YBR255C-A"	75.7513206812027	-0.0731713879533283	0.129337662447634	1.43445017197845e-06	1.82753399817565e-05
"YBR291C"	1225.52474522668	-0.902543899228455	0.134857083065373	8.40663042111799e-14	3.0533253253276e-12
"YBR293W"	333.732585572631	-2.11056758813618	0.263343949549942	4.01866882544706e-19	2.22006124861252e-17
"YBR294W"	5030.58101897074	-1.65647720665211	0.291081159471037	6.96377794849666e-10	1.57861642184197e-08
"YCL019W"	600.353991724783	-3.19207859686467	0.175174771490433	5.64944956017831e-74	1.42844159263893e-71
"YCL021W-A"	327.644472899502	-2.76506417021516	0.191530666261884	1.36853088374741e-56	2.24918050743887e-54
"YCL027W"	84.9937977223916	-2.1307818021678	0.319864028870676	2.17835799732894e-12	7.01986542864728e-11
"YCL050C"	666.469229342625	-0.46057257553764	0.0992083006212604	4.46477466075556e-07	6.45086343292463e-06
"YCL054W-A"	21.7498729464792	-8.76994403882079	2.7697857127494	8.61747733133626e-49	1.23154991252619e-46
"YCR018C"	78.0933113377078	-1.8823769173157	0.32998351075833	9.14391182916529e-12	2.72000345542682e-10
"YCR027C"	135.340939366117	-0.456951936943072	0.109275093828122	1.58968370649862e-06	2.00586961353588e-05
"YCR043C"	365.710172792507	-0.391456783300273	0.073011282072419	1.54659611500282e-09	3.34451409869361e-08
"YCR065W"	887.912218099844	-0.567272338870672	0.100999560426346	8.74243436692612e-09	1.68541828528365e-07
"YCR089W"	771.332296842933	-0.632043558512266	0.311573734480148	2.08556973822337e-05	0.00019812912513122
"YCR106W"	368.334166387985	-0.281374677220214	0.063445794992469	6.99070188150932e-08	1.1783813889498e-06
"YCR107W"	159.412009184117	-0.398147992457759	0.117708663282554	4.38140217318904e-06	5.00152555124416e-05
"YDL037C"	307.636814125668	-0.679322441694079	0.476912476103549	5.34482851932132e-06	6.01659292568807e-05
"YDL042C"	162.904909935755	-9.27385746934516	0.965440866360451	3.21824996207119e-295	4.2313550501312e-292
"YDL049C"	169.501572521945	-0.603878556336538	0.173102595767213	3.38212252424393e-06	3.98460098107161e-05
"YDL061C"	1816.29077397676	-0.396354135999452	0.11119441174321	4.34090813142244e-05	0.000377475265290623
"YDL066W"	5771.83871654515	-0.167518325038122	0.0911326676455003	3.37939545009368e-06	3.98460098107161e-05
"YDL149W"	220.044702056447	-0.136357655013892	0.0925928639061262	9.96237348204165e-05	0.000770400348896655
"YDL160C-A"	32.8999680609968	-2.21711113644439	0.249025919216319	4.49552197001025e-25	3.35835925350538e-23
"YDL171C"	25399.4424415876	-0.390755710863895	0.110796933140105	1.54292605108651e-06	1.95061458843129e-05
