"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"__ambiguous"	112486.133903011	-0.0181556065027998	0.0625920909072159	3.76390025073708e-06	4.36400004379992e-05
"IRT1"	48.9511033355658	-0.0273952678948688	0.0890138969520115	7.28411040638320e-09	1.43253876835756e-07
"Q0255"	341.929844693304	-0.131268040383836	0.114250757563693	1.43952394211228e-05	0.000142736506718645
"RME3"	93.1236503576261	-0.0225541901406482	0.0865371852256268	1.06428973648727e-06	1.40213241035417e-05
"snR49"	156.356566934667	-0.0147851162897747	0.0839734428329902	3.39293000762955e-06	3.99018280324806e-05
"snR74"	34.3826465952925	-0.00590019835929706	0.0792588980036109	2.78823488195108e-05	0.000256361623971279
"tA(AGC)P"	11.8439289828202	-0.0303872004257851	0.0943886915624198	6.04043166694773e-09	1.21809195639615e-07
"YAL005C"	4732.04349630942	-0.148387266054682	0.248816351853126	3.85446388062162e-08	6.75713214698841e-07
"YAL028W"	73.2698752650808	-0.0208929949337222	0.0847216033873512	6.90108481941372e-05	0.000564275268691863
"YAR073W"	53.3438099272123	-0.0888157585711699	0.157405140313589	2.80957967890708e-43	3.29824585877413e-41
"YAR075W"	14.4075631457962	-1.13299651827223	0.580940477492927	5.14327134230564e-32	4.56917105463747e-30
"YBL002W"	2872.96820962233	-0.00150179079128692	0.0673615986320759	1.74754158038063e-08	3.21802194661688e-07
"YBL005W"	436.04359153478	-0.0642061141937163	0.070944063736251	9.63406455236141e-11	2.51326747488984e-09
"YBL005W-B"	842.375526485572	-0.23955134520542	0.153532016474626	4.48666183423537e-92	1.84345718114146e-89
"YBL016W"	208.256225370773	-0.0189860407232613	0.0860330627506219	1.85970669469647e-32	1.69801552929647e-30
"YBL056W"	1622.18521131976	-0.0278067514938854	0.0404652784520926	1.61785383623168e-05	0.000158742852528165
"YBL075C"	254.466962527264	-0.0570163522762183	0.0928298417625235	2.68866095473969e-05	0.000248247993208689
"YBL100W-B"	220.97743362409	-0.37140236541417	0.209226638056849	5.38442414759005e-31	4.6575268876654e-29
"YBR012C"	51.9712146057157	-0.54783009382161	0.219863850232918	7.88787039983172e-24	5.63639782701019e-22
"YBR012W-B"	598.063505116964	-0.321940271774022	0.168066824421541	1.60166486940168e-83	5.01397373878411e-81
"YBR015C"	2039.65928211466	-0.0586605419208427	0.0605477908171221	5.51110406844959e-08	9.4348953505176e-07
"YBR020W"	80.2143913467311	-0.00209761938029667	0.0823462205106909	9.20740386943317e-15	3.56055723750904e-13
"YBR033W"	39.1890258755026	-0.0429529687919501	0.0973979375454573	8.79246287289707e-09	1.69010675223466e-07
