"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBL004W"	7008.36594306611	0.0144624112715204	0.2027108194004	39.7544528332077	5.09027363005925e-07	6.36623555332743e-05
"YBL016W"	208.256225370773	0.532951530561661	0.364904349799015	38.558533239772	8.73474323762003e-07	9.10354350765287e-05
"YBR068C"	90.2722524841377	0.13907890675379	0.614281080318506	39.3089811265572	6.22556841233103e-07	7.45478702651044e-05
"YBR085C-A"	641.677062389324	0.523278136441083	0.339401879995681	39.5979056766731	5.46361069098491e-07	6.68460890627458e-05
"YDL148C"	696.870909232479	0.037774354394432	0.325782513718447	31.4962551787445	2.03761978195943e-05	0.000988596908005832
"YDL210W"	142.380760158756	0.219308284397459	0.531754389644768	33.236283651909	9.44321361109074e-06	0.000508030054642667
"YDR033W"	5178.41327810634	0.427166718247866	0.426448335569134	34.6825213970899	4.96482134671454e-06	0.000328729582815405
"YDR055W"	1466.11883346067	0.0380884032575333	0.33733194959227	41.0296498950684	2.85698251683825e-07	4.06683699086342e-05
"YDR216W"	637.4651987352	0.14965173297542	0.259241216515988	91.7323938518406	1.32266810524398e-17	7.44397609631311e-14
"YFR055W"	419.543581665465	0.0684745631929729	0.29747419262865	60.8262287287843	3.05762441464194e-11	2.45833002937212e-08
"YGR032W"	3679.74139415184	0.581443135265951	0.598480026619877	45.280307405899	4.11673764944073e-08	7.72299983035081e-06
"YGR144W"	127.674730616513	0.450020400529075	0.443930535884467	54.7552183183496	5.19416800730239e-10	2.80210666168058e-07
"YHR030C"	692.597648364669	0.0910621124423376	0.195631796428822	33.3379093046113	9.02704447883812e-06	0.000498080454185304
"YHR094C"	5736.81473640774	0.287153068923322	0.43930391038646	37.3985982297887	1.4722678507962e-06	0.000131005555887872
"YHR143W"	3106.44874145337	0.296151634149067	0.358440584530782	45.0937366839116	4.48371899478216e-08	8.1401195169787e-06
"YIL164C"	344.406984603415	0.498512248992269	0.323386150941613	33.4061923449619	8.75768883077608e-06	0.000489902661751908
"YIL165C"	272.495948060268	0.365381519123219	0.241150921624244	37.068812415196	1.70732701504763e-06	0.000143415469264001
"YIL169C"	374.786039754149	0.321321522944161	0.552894754453742	43.132310233238	1.09818368246411e-07	1.62646783287053e-05
"YIR042C"	110.320861774772	1.67613997712892	0.356685735163858	35.4829249980095	3.47370066760029e-06	0.000247468194395626
"YJL034W"	5550.57720290211	0.0244825724745524	0.198845214830376	67.371102026495	1.41312021437394e-12	1.5906081132993e-09
"YKL159C"	69.0090072805698	0.29773864170813	0.435616571223536	38.3941415148945	9.40650365158548e-07	9.62541864565874e-05
"YKR034W"	402.165778615246	0.0593904026684814	0.301950597860668	70.3654080835686	3.44072071188306e-13	4.84109404161947e-10
"YKR039W"	21427.9314657457	0.0575443165538131	0.431356967604013	32.6836306171311	1.20625909911138e-05	0.000628595019425817
"YLL039C"	2065.01710591568	0.167642620244827	0.255517622914429	39.1967603008169	6.54922869236267e-07	7.67897064179523e-05
"YLL051C"	809.127516219757	0.485798980772166	0.416916070333716	34.9972055999295	4.31487781516817e-06	0.000293476266056774
"YLR142W"	568.209838538483	0.109830801468631	0.318641010295546	43.8224977350307	8.01603515732606e-08	1.25317349626197e-05
"YLR286C"	9650.36544745795	0.271781272840982	0.256601460064721	44.9269758292344	4.83920973464131e-08	8.25305223835191e-06
"YMR008C"	1433.75170824204	0.761419395036724	0.519152349504898	34.6301428423804	5.08206286920989e-06	0.000332579649161782
"YMR096W"	561.47855265488	0.0499563741611909	0.315970223289214	33.2279501823882	9.47817266124378e-06	0.000508030054642667
"YNL160W"	927.992243401973	1.14493527051426	0.500964809336096	49.2539406566044	6.63235861360185e-09	1.7923769489106e-06
"YNL192W"	1912.51740339755	0.0189588056572926	0.301888159085921	36.8041285557412	1.92266256017281e-06	0.000159128601303714
"YNL279W"	65.1364944965884	0.0861653971338193	0.492181376230317	88.4949525881512	6.22208599342296e-17	1.16726333236615e-13
"YNR060W"	148.065010572711	0.28278374984611	0.47930025855828	45.3103802739108	4.06045086629543e-08	7.72299983035081e-06
"YOL104C"	227.14747343087	0.252879929291567	0.483765307332138	37.3705511851853	1.49094014050206e-06	0.000131005555887872
"YOR208W"	454.460465513773	0.13612008676517	0.198260955055157	33.8075228161798	7.32826254042047e-06	0.00042961939143215
"YOR298C-A"	1318.41332323148	0.307727805433321	0.268308037729798	33.9021770042204	7.02640250223137e-06	0.000424362488438357
"YOR328W"	520.950813970235	0.200466679262765	0.351677997515449	49.0687329105315	7.22346863058629e-09	1.84789461149726e-06
"YOR385W"	193.905131878035	0.577442226298306	0.31966637785955	33.0248594385968	1.03709727612271e-05	0.000550639950001757
"YPL086C"	765.359642409565	0.0321777065557372	0.204583367978257	37.3378105724722	1.51303502713427e-06	0.000131005555887872
"YPL217C"	1325.41108764318	0.101247130381776	0.29214257535151	35.6535890364022	3.21860605797994e-06	0.000232234806337322
