"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBL004W"	7008.36594306611	0.11165254428294	0.205594570287156	39.7544528332077	5.09027363005925e-07	6.36623555332743e-05
"YBL016W"	208.256225370773	0.54286188756868	0.378340927141573	38.558533239772	8.73474323762003e-07	9.10354350765287e-05
"YBR247C"	560.042999471857	0.150184740253936	0.244368314149647	36.4781106662647	2.22529782920718e-06	0.000173944113649695
"YDL055C"	12119.1239476772	0.363598684625527	0.194463146449172	38.2072150497311	1.02329278680616e-06	0.000102840925074019
"YDL148C"	696.870909232479	0.377479465234268	0.331865690958316	31.4962551787445	2.03761978195943e-05	0.000988596908005832
"YDR033W"	5178.41327810634	0.625791910196972	0.432278684155834	34.6825213970899	4.96482134671454e-06	0.000328729582815405
"YDR120C"	660.033922234389	0.230206319246829	0.223843864236439	33.8826055501183	7.08778854179203e-06	0.000424362488438357
"YDR496C"	998.603274653018	0.0419047041905288	0.246091527251386	34.3877242543381	5.66148528388071e-06	0.000358009428962704
"YER103W"	419.652128502515	0.0493381648081791	0.363488342477716	47.8611248674725	1.25956657979592e-08	2.83553628443657e-06
"YER124C"	1725.47970429068	1.20205424599466	0.308466377226093	48.0557454958458	1.15169665608889e-08	2.70072865852844e-06
"YGL099W"	823.348937640206	0.268997422446102	0.23298015919009	33.9360744158583	6.92132849425744e-06	0.000423404747453053
"YGL120C"	1899.0742788111	0.0776080907953165	0.188179156560513	35.2926568388252	3.78182050952903e-06	0.000266051072845367
"YGR032W"	3679.74139415184	0.14497029902869	0.606207262084287	45.280307405899	4.11673764944073e-08	7.72299983035081e-06
"YGR103W"	2267.48951759269	0.1996032813127	0.306086574863759	31.6879975099372	1.87252315740462e-05	0.000916396550423758
"YGR125W"	4602.51882711811	0.17140778100808	0.312404696496476	34.5253853136119	5.3248532628198e-06	0.000340548570035793
"YGR234W"	6281.5073422688	0.0883586509974588	0.254683267064402	35.7121745704694	3.13539844484017e-06	0.000229169122695591
"YGR245C"	1077.49449565145	0.0449174593127646	0.298061099052115	33.4937898671568	8.42378820505658e-06	0.000478879596142004
"YHR143W"	3106.44874145337	1.41064064677109	0.363289306018377	45.0937366839116	4.48371899478216e-08	8.1401195169787e-06
"YIL119C"	396.687742560452	0.295853319700085	0.308113890221126	51.5447335075816	2.3022493579293e-09	7.62179963907418e-07
"YIL164C"	344.406984603415	0.261638127775579	0.330396743008875	33.4061923449619	8.75768883077608e-06	0.000489902661751908
"YIL165C"	272.495948060268	0.415617136096089	0.249619635353752	37.068812415196	1.70732701504763e-06	0.000143415469264001
"YIL169C"	374.786039754149	0.0491732472173249	0.559922308353096	43.132310233238	1.09818368246411e-07	1.62646783287053e-05
"YIR042C"	110.320861774772	0.479028308897204	0.342077884969117	35.4829249980095	3.47370066760029e-06	0.000247468194395626
"YJL034W"	5550.57720290211	0.0518432439543743	0.202086183747107	67.371102026495	1.41312021437394e-12	1.5906081132993e-09
"YJL050W"	1914.95067899342	0.111140932753113	0.26882998820246	40.281544683475	4.0101078394255e-07	5.12929248188334e-05
"YJL109C"	5449.91066199852	0.00874098912781395	0.184301804956844	43.4169464863888	9.64533038301902e-08	1.46713295663868e-05
"YKL014C"	2635.45932992492	0.150345948180771	0.182842500070898	52.4971629086773	1.48124959156153e-09	5.55764846753886e-07
"YKL078W"	314.944090420785	0.369149970939509	0.295593414935976	38.9449226500848	7.33774453684751e-07	8.42670656446653e-05
"YKL159C"	69.0090072805698	0.179456730793808	0.446891593629852	38.3941415148945	9.40650365158548e-07	9.62541864565874e-05
"YKL164C"	5691.82363988358	0.388092411560775	0.327746131158281	32.2224459891004	1.47910025812849e-05	0.000743247879709565
"YKL209C"	2261.01853134664	0.341686253054021	0.19125018272844	31.7397441629406	1.83028641738698e-05	0.000903583505004728
"YKR034W"	402.165778615246	0.36959873609036	0.304752803942496	70.3654080835686	3.44072071188306e-13	4.84109404161947e-10
"YKR039W"	21427.9314657457	0.592429531751249	0.436952540665616	32.6836306171311	1.20625909911138e-05	0.000628595019425817
"YLL008W"	940.950539167469	0.31688143486727	0.255306036598188	40.8043890102404	3.16426772461059e-07	4.24011875097819e-05
"YLR286C"	9650.36544745795	1.14675561887003	0.260019416190784	44.9269758292344	4.83920973464131e-08	8.25305223835191e-06
"YLR304C"	11596.6850827088	0.546556550792324	0.327753543095768	36.5408779489381	2.16356686690706e-06	0.000171562605870141
"YMR008C"	1433.75170824204	0.615007622601149	0.526322376491758	34.6301428423804	5.08206286920989e-06	0.000332579649161782
"YMR120C"	14226.8956891044	0.246333330531378	0.250877194177619	37.9029018322496	1.17354047818552e-06	0.000113873893297036
"YMR122W-A"	2679.98556875593	0.292828031476084	0.270762396130333	44.9341185520526	4.82342333606729e-08	8.25305223835191e-06
"YMR128W"	833.540185331291	0.156003037868323	0.30386263602253	32.688968592765	1.20341301034644e-05	0.000628595019425817
"YMR189W"	7517.94646243256	0.321568656197733	0.296741846059186	44.5208710043406	5.82670908103303e-08	9.64491726707467e-06
"YMR229C"	7755.67440372173	0.13966058967917	0.260481345335467	38.5921941949973	8.60319143510262e-07	9.10354350765287e-05
"YMR300C"	3192.27952782271	0.100350645800058	0.176725150708465	54.4539826725119	5.97464106968141e-10	2.80210666168058e-07
"YNL132W"	2824.49849865429	0.0505652871377245	0.192518225095493	46.1077754561891	2.81782681599819e-08	5.76547515040828e-06
"YNL160W"	927.992243401973	0.638218109137008	0.510467890769531	49.2539406566044	6.63235861360185e-09	1.7923769489106e-06
"YNL192W"	1912.51740339755	0.179965797806344	0.306636649899483	36.8041285557412	1.92266256017281e-06	0.000159128601303714
"YNL279W"	65.1364944965884	0.824825992358905	0.543347631305034	88.4949525881512	6.22208599342296e-17	1.16726333236615e-13
"YOR341W"	9334.98312839134	0.0929332556981585	0.202742736772406	51.7104640677424	2.13228369035669e-09	7.50030788082964e-07
"YOR385W"	193.905131878035	0.339060851390373	0.323695628746547	33.0248594385968	1.03709727612271e-05	0.000550639950001757
"YPL012W"	3643.41935608248	0.028342560124193	0.187937749255457	53.5964473888116	8.89703040011996e-10	3.85172977629808e-07
"YPL086C"	765.359642409565	0.331393431606348	0.20918135812362	37.3378105724722	1.51303502713427e-06	0.000131005555887872
"YPL093W"	3291.89100537655	0.135714722574383	0.198970610942808	41.0039894284235	2.89043140786313e-07	4.06683699086342e-05
"YPL217C"	1325.41108764318	0.227524146930519	0.296579284928647	35.6535890364022	3.21860605797994e-06	0.000232234806337322
