"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"__ambiguous"	112486.133903011	1.7213245744059e-05	0.00144256589638464	3.76390025073708e-06	4.36400004379992e-05
"Q0255"	341.929844693304	6.34944996153053e-06	0.00144259381527859	1.43952394211228e-05	0.000142736506718645
"RME2"	523.839808601326	5.82387908681229e-06	0.00144268830810408	3.41849425240791e-48	4.78152791815524e-46
"RME3"	93.1236503576261	6.09402579201139e-06	0.00144268040505173	1.06428973648727e-06	1.40213241035417e-05
"snR49"	156.356566934667	1.8554300291998e-06	0.00144267275543883	3.39293000762955e-06	3.99018280324806e-05
"tA(AGC)P"	11.8439289828202	3.59326217515171e-06	0.00144269209473454	6.04043166694773e-09	1.21809195639615e-07
"tG(GCC)D2"	27.4405116572538	2.16808254123324e-06	0.00144268130970186	9.4600677637992e-18	4.53577379424404e-16
"tL(UAG)L1"	22.876181666305	3.1310165607536e-06	0.00144268016426168	1.11005265351241e-21	7.01681360018327e-20
"tN(GUU)P"	15.0772651191657	6.99698565399248e-06	0.00144269115517487	9.75011113927082e-16	4.0060769143479e-14
"tW(CCA)P"	19.8821512578351	2.2523611671533e-07	0.00144267902654619	2.02625914182656e-05	0.000193332766304322
"YAL028W"	73.2698752650808	8.34869921584982e-08	0.00144266797071196	6.90108481941372e-05	0.000564275268691863
"YAL060W"	2015.4779232408	3.2903048590308e-06	0.00144266885149851	1.67395128059716e-05	0.000163758269622705
"YAR009C"	429.266036159186	6.46796390656892e-06	0.00144266105344879	1.4707686127415e-60	2.76252367433217e-58
"YAR010C"	117.411958988773	5.77203132386061e-06	0.00144267127037065	1.44785371167024e-47	1.98295631260836e-45
"YAR073W"	53.3438099272123	1.38638420833835e-06	0.00144267608276184	2.80957967890708e-43	3.29824585877413e-41
"YAR075W"	14.4075631457962	1.5961732363191e-06	0.00144268557431015	5.14327134230564e-32	4.56917105463747e-30
"YBL005W-B"	842.375526485572	2.12883649103244e-06	0.00144261743773234	4.48666183423537e-92	1.84345718114146e-89
"YBL016W"	208.256225370773	4.10200327419012e-06	0.00144267975960255	1.85970669469647e-32	1.69801552929647e-30
"YBL022C"	1911.6730752221	6.14128155358829e-06	0.00144253245404687	2.13323776590158e-11	5.99312182608419e-10
"YBL033C"	165.452374950552	7.28217014182176e-08	0.00144261009919363	0.000107880126107492	0.000814241043663202
"YBL036C"	256.980045759028	2.8076892832374e-06	0.00144257086816621	1.23701669624164e-06	1.60397391737525e-05
"YBL058W"	766.123209518194	7.49529357531253e-07	0.00144236800703352	1.1637935930753e-24	8.50086564541892e-23
"YBL066C"	544.708940117266	2.7768269653544e-06	0.00144244305984256	4.82101371880424e-09	9.96646043629531e-08
"YBL075C"	254.466962527264	6.21846326753517e-06	0.00144263777984904	2.68866095473969e-05	0.000248247993208689
"YBL081W"	296.987953085697	4.12864544364355e-06	0.00144263657227925	7.73807190807042e-05	0.000621124355600182
"YBL091C"	687.695222437317	9.60125828657166e-06	0.00144244701418743	6.29950328357639e-05	0.000520032438934609
"YBL100W-B"	220.97743362409	9.10526013290261e-06	0.00144266389939526	5.38442414759005e-31	4.6575268876654e-29
"YBL101C"	1164.14732910139	4.66160280621886e-07	0.00144245343496221	3.88170401374414e-07	5.67073826363421e-06
"YBL106C"	384.408082313808	3.42493631342871e-05	0.0014426626218856	7.00575413217834e-09	1.38937385225345e-07
"YBR001C"	294.726056388984	1.18038737767799e-06	0.00144251921981504	7.04633277493645e-05	0.000573964466050292
"YBR012C"	51.9712146057157	7.60851636284499e-06	0.00144266579589384	7.88787039983172e-24	5.63639782701019e-22
"YBR012W-B"	598.063505116964	2.2853182545174e-06	0.00144263152464301	1.60166486940168e-83	5.01397373878411e-81
"YBR020W"	80.2143913467311	2.17868392217083e-06	0.0014426731475318	9.20740386943317e-15	3.56055723750904e-13
"YBR040W"	6.20707694565613	6.9870947023366e-07	0.0014426882748385	7.69705236643231e-06	8.25455501744307e-05
"YBR058C"	592.743541431993	3.02282231744406e-06	0.00144246666289019	1.18620600282959e-08	2.25379140537621e-07
"YBR067C"	1623.47033874809	3.70305929296008e-06	0.00144268622244346	6.21827215259618e-08	1.05358044152493e-06
"YBR069C"	82.5318977395766	3.63933547121432e-06	0.00144268613555804	7.72079617275083e-06	8.26653323121563e-05
"YBR101C"	348.823661904739	1.36162161552702e-06	0.00144264685501198	5.1094329777333e-08	8.81611873900754e-07
"YBR106W"	2747.7145035195	1.27390425563228e-05	0.00144237239186663	2.69959882649796e-06	3.26234608187455e-05
"YBR114W"	216.523146606359	8.65710050816686e-06	0.00144252589738325	7.18000561247805e-08	1.20411624735793e-06
"YBR133C"	1002.32822811306	1.19088098609338e-05	0.00144259128324851	6.26678288002924e-10	1.44553791766008e-08
"YBR158W"	1322.69478931714	3.66823572202187e-06	0.00144262300821496	5.19174378313596e-23	3.44752763942786e-21
"YBR162C"	8445.80175675894	8.58262615966501e-06	0.00144267268547003	0.000117344922406405	0.000874632108729826
"YBR170C"	438.779365247709	9.32562634431933e-06	0.00144254974959913	4.96512070159153e-12	1.52526651833003e-10
"YBR182C"	133.236781009354	3.34892471078728e-07	0.00144266708234781	3.56015748938289e-08	6.29152562774277e-07
"YBR208C"	5876.16217135949	1.1002249633049e-06	0.00144267288577018	8.46050143128109e-06	8.92766234498265e-05
"YBR242W"	264.479387528322	7.43019644792153e-06	0.00144258483735068	6.22721915149929e-12	1.88888950238157e-10
"YBR293W"	333.732585572631	5.78898182101635e-06	0.00144267953512592	4.01866882544706e-19	2.22006124861252e-17
"YBR294W"	5030.58101897074	1.81474315518665e-06	0.00144267691679767	6.96377794849666e-10	1.57861642184197e-08
"YBR302C"	17.4534951526657	1.34902652237829e-06	0.00144268499942697	4.8470911198873e-07	6.85264021981487e-06
"YCL007C"	21.9960123960819	4.00644783763079e-06	0.00144269024063953	2.34084378658746e-05	0.000219838672186085
"YCL019W"	600.353991724783	2.5364802432591e-06	0.00144264622120417	5.64944956017831e-74	1.42844159263893e-71
"YCL021W-A"	327.644472899502	9.46068870883144e-06	0.00144266735367345	1.36853088374741e-56	2.24918050743887e-54
