"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"Q0255"	341.929844693304	0.300897759839968	0.110785899336041	1.43952394211228e-05	0.000142736506718645
"snR49"	156.356566934667	0.903497068665831	0.249838552068542	3.39293000762955e-06	3.99018280324806e-05
"YAL005C"	4732.04349630942	0.665337194324415	0.205318314674217	3.85446388062162e-08	6.75713214698841e-07
"YAL051W"	418.824386880771	0.211288435252644	0.0726706086828781	2.97027457658672e-05	0.000270451316710264
"YAR073W"	53.3438099272123	2.37535366003713	0.251153524707725	2.80957967890708e-43	3.29824585877413e-41
"YAR075W"	14.4075631457962	2.34863710272031	0.324497608705351	5.14327134230564e-32	4.56917105463747e-30
"YBL022C"	1911.6730752221	0.454986128440717	0.0908745980077926	2.13323776590158e-11	5.99312182608419e-10
"YBL033C"	165.452374950552	0.46317393435213	0.126339198740909	0.000107880126107492	0.000814241043663202
"YBL036C"	256.980045759028	0.473493660508456	0.103527418264965	1.23701669624164e-06	1.60397391737525e-05
"YBL041W"	574.137156083763	0.406836199927866	0.117813377499529	8.37699166423246e-09	1.61971597649012e-07
"YBL058W"	766.123209518194	0.541916965983543	0.0636653957599733	1.1637935930753e-24	8.50086564541892e-23
"YBL075C"	254.466962527264	0.453867699726307	0.14782832757155	2.68866095473969e-05	0.000248247993208689
"YBL078C"	54.8774921849732	0.668499782119625	0.203020782721633	1.25633975481555e-05	0.000127456443644405
"YBL086C"	125.659805479207	0.390841827564731	0.133213421101817	8.00904644473426e-05	0.000637427013652337
"YBL091C"	687.695222437317	0.29870770846005	0.0714745828222042	6.29950328357639e-05	0.000520032438934609
"YBR001C"	294.726056388984	0.325747190870556	0.0859181680226588	7.04633277493645e-05	0.000573964466050292
"YBR033W"	39.1890258755026	0.975163598936369	0.258845755578309	8.79246287289707e-09	1.69010675223466e-07
"YBR035C"	680.799417159882	0.331535764788294	0.0848142634041145	8.28152418203185e-07	1.12052334999697e-05
"YBR056W-A"	106.714259606931	1.0287819234299	0.271404369247647	3.98955125195832e-06	4.58519404377168e-05
"YBR058C"	592.743541431993	0.401800350829575	0.076155871828679	1.18620600282959e-08	2.25379140537621e-07
"YBR080C"	1186.37296163959	0.241962426562528	0.0611978482952162	2.60656452110915e-08	4.66908859993775e-07
"YBR094W"	436.298192812478	0.188124631083433	0.0758943025222782	1.66680152003085e-06	2.09113610547381e-05
"YBR101C"	348.823661904739	0.738804256200525	0.170595236396016	5.1094329777333e-08	8.81611873900754e-07
"YBR114W"	216.523146606359	0.459602714027511	0.0848102224754141	7.18000561247805e-08	1.20411624735793e-06
"YBR166C"	290.041166410507	0.375639961897059	0.106533300122972	7.81174960181664e-05	0.000624749901245044
"YBR169C"	508.255016873134	0.344057401650227	0.172514313252232	0.000104913238785454	0.000800356328121072
"YBR170C"	438.779365247709	0.317009177353553	0.0915339846398773	4.96512070159153e-12	1.52526651833003e-10
"YBR182C"	133.236781009354	0.800364254045418	0.225509761721329	3.56015748938289e-08	6.29152562774277e-07
"YBR242W"	264.479387528322	0.493935355151444	0.106265816907673	6.22721915149929e-12	1.88888950238157e-10
"YBR256C"	551.648097948843	0.269657704306158	0.0913232752800156	1.22062304343862e-06	1.58584503706828e-05
"YBR302C"	17.4534951526657	0.961325103218374	0.370921864649739	4.8470911198873e-07	6.85264021981487e-06
"YCL007C"	21.9960123960819	1.07773646858787	0.480053482265781	2.34084378658746e-05	0.000219838672186085
"YCL026C-B"	109.769079558081	0.829451471296982	0.209404154787105	5.06845140778336e-07	7.13490354491816e-06
"YCL037C"	1645.17062251648	0.353951015330444	0.112908520883532	0.00010341457779895	0.000791440552328633
"YCL057W"	2000.21033554359	0.170227862259844	0.0660430054551189	1.76593676090185e-11	5.0475079418125e-10
"YCL064C"	54.2385155974078	0.661840566133064	0.245263755518685	2.64953757261701e-05	0.000245670803982853
"YCL074W"	28.9343671143629	4.1499732389216	0.543584896423081	7.38543336062551e-29	5.99405418675952e-27
"YCL075W"	13.0451510868757	5.20366944766963	0.712444899320986	3.0533776711191e-30	2.5734493346073e-28
"YCR020C"	48.4121844814047	0.483842125245131	0.165681955892821	0.000113430215979999	0.000849305512360491
"YCR036W"	343.0544053775	0.45140357033422	0.0957226788125518	7.01670310880512e-07	9.65016866888805e-06
"YCR052W"	357.717983606177	0.403920885560599	0.104674014299426	2.21388507886755e-06	2.70521942536715e-05
"YCR072C"	541.643358118152	0.524020827250415	0.142151711068262	0.000136921824695553	0.000995712472951953
"YCR097W-A"	4.38807896790517	2.89131002896017	0.760000762324214	1.09622593466884e-13	3.93802693689233e-12
"YCR099C"	39.2739354402876	0.88519660070643	0.287522874741787	2.20224015215647e-05	0.000208309737557937
"YCR100C"	104.148388082641	0.643670092020843	0.224175357894993	0.000121329877979009	0.000900790602622731
"YCR101C"	69.8859227558094	0.598089392092339	0.245965059782019	3.01977653315477e-05	0.000274578297772607
"YCR102C"	36.1429690815649	0.608387637885378	0.192542031646975	8.03059611678465e-06	8.55642445247038e-05
"YDL007W"	928.386649219549	0.551114624805387	0.0748580550777973	1.53736701011693e-25	1.18901773229514e-23
"YDL010W"	141.330326863752	0.442427444019918	0.149053385066001	7.44666512706876e-06	8.03848547542693e-05
"YDL020C"	475.389003164843	0.62764415821237	0.107863748518684	9.79223783511479e-15	3.74268439116539e-13
"YDL040C"	1361.44097116632	0.247977742446517	0.0928433462354194	2.26511291926876e-05	0.000213335993284711
"YDL048C"	350.124466149253	0.895708191110815	0.292154495635121	9.04854347176351e-05	0.000709846357796818
"YDL058W"	1132.19519539103	0.347508694074652	0.0738375022642229	1.35395202055014e-08	2.55039558254918e-07
"YDL070W"	891.491868258282	0.293624109435056	0.0833876748702743	9.11206823269196e-06	9.52348752968473e-05
"YDL097C"	980.281370291883	0.50426285291486	0.0900304776401116	5.31382505231531e-13	1.80067453061448e-11
"YDL100C"	1266.30583849416	0.015463211192969	0.0574045892929388	6.58968807927142e-19	3.55086962566642e-17
"YDL103C"	421.649629842461	0.369896163805076	0.0900722711554679	2.92191015790975e-06	3.49247952329067e-05
"YDL120W"	247.528618628515	0.34599309967329	0.0978172156253419	5.6551650320128e-07	7.89321760519154e-06
"YDL126C"	10287.5986537978	0.0423641840822091	0.0542501860849957	6.56278889978158e-35	6.1633963181663e-33
"YDL127W"	126.223379772299	0.0490291572544729	0.101019134233431	1.25312684225426e-06	1.6216645395629e-05
"YDL132W"	757.243049812715	0.412818445372752	0.087408351266559	2.05599442431311e-06	2.53110624446337e-05
"YDL147W"	1067.97654195379	0.364033094404724	0.0894557286244917	2.7039806171919e-10	6.58369206571093e-09
"YDL173W"	338.313803178534	0.521261371693716	0.105557536616392	1.15059639727732e-06	1.50378145441374e-05
"YDL175C"	119.773087871009	0.295173637592014	0.104244046173999	6.09291811151174e-05	0.000506382347219699
"YDL234C"	443.742285612874	0.611533694074898	0.194095465289612	5.54399109752991e-05	0.0004678587609135
"YDR001C"	1046.14881383562	0.313338246447125	0.0951510347828364	2.75327714015404e-07	4.18982498133626e-06
"YDR002W"	1305.11994246828	0.286191485616015	0.053545170239833	1.45898321631056e-09	3.17968759458529e-08
"YDR028C"	981.346355215717	0.371274155329658	0.112845315481845	0.000119569722845298	0.00089020538843147
"YDR030C"	44.1109973854645	0.661686883502166	0.160671880711374	2.31773508792083e-05	0.000217979835021338
"YDR036C"	349.255246489207	0.32721134403197	0.0727812266968164	6.3990520233988e-09	1.27864340431075e-07
"YDR037W"	7243.29107834795	0.20204075282241	0.0814115243190846	1.21066055601495e-07	1.94119085249812e-06
"YDR042C"	126.507449841581	1.45870198931634	0.315824974468384	4.91215350311985e-13	1.68190089216197e-11
"YDR074W"	1956.93420384357	0.18800519869045	0.118978700811575	5.3156226727041e-09	1.09202823282365e-07
"YDR097C"	708.420614968134	0.389833114335005	0.143871279907567	3.5052068872868e-05	0.000312662551927048
