"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"RME2"	523.839808601326	0.00621080097248963	0.0847183282201386	3.41849425240791e-48	4.78152791815524e-46
"tG(GCC)D2"	27.4405116572538	0.0321905403429908	0.0921034939075862	9.4600677637992e-18	4.53577379424404e-16
"tL(UAG)L1"	22.876181666305	0.103903135410751	0.195197612630763	1.11005265351241e-21	7.01681360018327e-20
"tN(GUU)P"	15.0772651191657	0.0626306216768091	0.118573918501565	9.75011113927082e-16	4.0060769143479e-14
"tW(CCA)P"	19.8821512578351	0.0351139696189263	0.0933820066325242	2.02625914182656e-05	0.000193332766304322
"YAL031C"	342.400142315507	0.00391918394333453	0.0531251614591475	1.63452921281663e-06	2.05850479790354e-05
"YAL048C"	262.14576647322	0.00344270805160544	0.0624256950563658	0.000129516900463618	0.000947101338874108
"YAL051W"	418.824386880771	0.195178335640667	0.0759445280774942	2.97027457658672e-05	0.000270451316710264
"YAL060W"	2015.4779232408	0.0212630923031093	0.0845813718141757	1.67395128059716e-05	0.000163758269622705
"YAL067C"	158.870487688978	0.00408618197332555	0.0839428567980688	1.48055225174635e-10	3.74351942422328e-09
"YAR009C"	429.266036159186	0.0302981642705097	0.0845170562247166	1.4707686127415e-60	2.76252367433217e-58
"YAR010C"	117.411958988773	0.00516226943155446	0.0812069380630205	1.44785371167024e-47	1.98295631260836e-45
"YBL022C"	1911.6730752221	0.490554124572547	0.0913568028362721	2.13323776590158e-11	5.99312182608419e-10
"YBL033C"	165.452374950552	0.0271058037710642	0.0754019278470669	0.000107880126107492	0.000814241043663202
"YBL036C"	256.980045759028	0.0263102927993533	0.0694163985101669	1.23701669624164e-06	1.60397391737525e-05
"YBL041W"	574.137156083763	0.558271808067296	0.121145175001016	8.37699166423246e-09	1.61971597649012e-07
"YBL058W"	766.123209518194	0.411469302880503	0.0642268614500297	1.1637935930753e-24	8.50086564541892e-23
"YBL066C"	544.708940117266	0.0118019084611909	0.056127995148688	4.82101371880424e-09	9.96646043629531e-08
"YBL078C"	54.8774921849732	0.0884026690851853	0.1379303226898	1.25633975481555e-05	0.000127456443644405
"YBL081W"	296.987953085697	0.0819270643132495	0.110824895817976	7.73807190807042e-05	0.000621124355600182
"YBL086C"	125.659805479207	0.00125976119040479	0.0735046765986867	8.00904644473426e-05	0.000637427013652337
"YBL091C"	687.695222437317	0.0371405590599883	0.0579957719089269	6.29950328357639e-05	0.000520032438934609
"YBL101C"	1164.14732910139	0.09158660591449	0.0700596717627123	3.88170401374414e-07	5.67073826363421e-06
"YBL106C"	384.408082313808	0.156924991098086	0.0779659555678753	7.00575413217834e-09	1.38937385225345e-07
"YBR001C"	294.726056388984	0.18804620525507	0.0915816332492636	7.04633277493645e-05	0.000573964466050292
"YBR056W-A"	106.714259606931	0.00890917948307682	0.0837197359109335	3.98955125195832e-06	4.58519404377168e-05
"YBR058C"	592.743541431993	0.0243549911784895	0.05885137958133	1.18620600282959e-08	2.25379140537621e-07
"YBR067C"	1623.47033874809	0.0584062361978879	0.114910541274165	6.21827215259618e-08	1.05358044152493e-06
"YBR106W"	2747.7145035195	0.144170853320782	0.0630348854495892	2.69959882649796e-06	3.26234608187455e-05
"YBR114W"	216.523146606359	0.0959209852081134	0.0796087249631777	7.18000561247805e-08	1.20411624735793e-06
"YBR157C"	108.475598525934	0.0348169779980606	0.0769151498347092	1.60732219357033e-95	7.04435740035424e-93
"YBR158W"	1322.69478931714	0.0241739476696786	0.0763910942449478	5.19174378313596e-23	3.44752763942786e-21
